property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price_per_sqft,coordinates,latitude,longitude
house,sector 109,6.1,5.0,6.0,3+,Moderately Old,2430.0,1.0,0.0,0.0,Low,Low Floor,0.002510288065843621,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,sector 51,2.1,4.0,4.0,3,Relatively New,2300.0,0.0,0.0,0.0,Medium,Low Floor,0.0009130434782608696,"28.4320° N, 77.0686° E",28.432,77.0686
flat,sector 37,1.25,3.0,3.0,3,Relatively New,1563.0,0.0,0.0,0.0,Low,Low Floor,0.000799744081893794,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,sector 111,0.7,2.0,2.0,2,Relatively New,773.0,0.0,0.0,0.0,Medium,Mid Floor,0.0009055627425614488,"28.5238° N, 77.0320° E",28.5238,77.032
flat,sector 67,2.8,3.0,3.0,3,Moderately Old,2047.0,1.0,0.0,2.0,Low,Mid Floor,0.0013678553981436247,"28.3859° N, 77.0608° E",28.3859,77.0608
house,sector 28,5.5,4.0,3.0,3,Old Property,1800.0,0.0,0.0,1.0,Low,Low Floor,0.0030555555555555557,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,sector 111,2.58,3.0,4.0,2,Moderately Old,2200.0,1.0,0.0,0.0,Medium,Mid Floor,0.0011727272727272728,"28.5238° N, 77.0320° E",28.5238,77.032
flat,sector 113,3.0,3.0,3.0,3+,Relatively New,2460.0,1.0,0.0,0.0,High,Mid Floor,0.0012195121951219512,"28.5287° N, 77.0233° E",28.5287,77.0233
house,sector 13,1.25,3.0,6.0,2,Old Property,115.0,0.0,0.0,0.0,Low,Mid Floor,0.010869565217391304,"28.4757° N, 77.0392° E",28.4757,77.0392
flat,sector 61,2.1,3.0,2.0,3,Under Construction,1534.0,0.0,0.0,0.0,Medium,Mid Floor,0.0013689700130378097,"28.4050° N, 77.0963° E",28.405,77.0963
flat,sector 113,2.45,3.0,3.0,3,Relatively New,2014.0,0.0,0.0,0.0,Medium,Mid Floor,0.0012164846077457796,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,sector 69,1.38,3.0,3.0,1,Relatively New,1709.0,0.0,0.0,0.0,High,High Floor,0.0008074897600936219,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,sector 89,1.71,3.0,2.0,0,New Property,1423.0,0.0,0.0,0.0,Low,Mid Floor,0.0012016865776528461,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,sector 67a,1.85,3.0,4.0,3,New Property,1941.0,0.0,1.0,1.0,High,Mid Floor,0.0009531169500257599,"28.3960° N, 77.0372° E",28.396,77.0372
flat,sector 37d,0.6,2.0,2.0,3,New Property,625.0,0.0,0.0,0.0,Low,Mid Floor,0.0009599999999999999,"28.4478° N, 76.9703° E",28.4478,76.9703
