property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price_per_sqft,coordinates,latitude,longitude
flat,sector 91,1.75,4.0,4.0,3+,Relatively New,2139.0,1.0,0.0,0.0,Medium,Mid Floor,0.0008181393174380552,"28.4014° N, 76.9225° E",28.4014,76.9225
flat,sector 83,1.1,3.0,3.0,3+,Relatively New,1600.0,0.0,0.0,1.0,Medium,Mid Floor,0.0006875000000000001,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,sector 68,1.7,4.0,4.0,3,New Property,1809.0,0.0,0.0,0.0,Low,Low Floor,0.0009397457158651188,"28.3853° N, 77.0484° E",28.3853,77.0484
flat,sector 108,0.7,2.0,2.0,3,Moderately Old,1720.0,0.0,0.0,1.0,Low,Low Floor,0.0004069767441860465,"28.5134° N, 76.9830° E",28.5134,76.983
flat,sector 2,1.51,3.0,4.0,3+,Moderately Old,1738.0,1.0,0.0,1.0,Medium,Mid Floor,0.0008688147295742233,"28.5095° N, 77.0320° E",28.5095,77.032
flat,sector 86,0.44,2.0,2.0,2,Relatively New,668.0,0.0,0.0,1.0,Medium,Mid Floor,0.0006586826347305389,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,sector 102,2.35,3.0,3.0,3,Relatively New,2351.0,1.0,0.0,1.0,High,High Floor,0.0009995746490854957,"28.4750° N, 76.9715° E",28.475,76.9715
flat,sector 104,1.75,4.0,5.0,3+,New Property,2582.0,1.0,0.0,0.0,Medium,Low Floor,0.0006777691711851278,"28.4788° N, 76.9960° E",28.4788,76.996
flat,sector 69,1.75,4.0,4.0,1,Relatively New,1783.0,0.0,0.0,0.0,Medium,High Floor,0.000981491867638811,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,sector 92,0.6,2.0,2.0,3,Under Construction,1195.0,0.0,0.0,0.0,Low,High Floor,0.0005020920502092051,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,sector 56,1.38,3.0,3.0,3,Moderately Old,1910.0,0.0,0.0,1.0,Medium,Mid Floor,0.0007225130890052355,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,sector 90,0.9,3.0,4.0,3,Relatively New,1765.0,1.0,0.0,0.0,High,Mid Floor,0.000509915014164306,"28.4085° N, 76.9369° E",28.4085,76.9369
house,sector 26,4.45,4.0,4.0,3,Old Property,1265.0,0.0,0.0,0.0,Low,Mid Floor,0.003517786561264822,"28.4757° N, 77.1032° E",28.4757,77.1032
house,sector 31,3.25,4.0,4.0,3+,Moderately Old,1449.0,1.0,1.0,1.0,Low,Mid Floor,0.002242926155969634,"28.4528° N, 77.0498° E",28.4528,77.0498
flat,sector 79,0.36,2.0,2.0,1,New Property,546.0,0.0,0.0,0.0,Medium,Mid Floor,0.0006593406593406593,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,sector 54,7.0,4.0,6.0,3+,Moderately Old,2715.0,1.0,1.0,1.0,Medium,High Floor,0.002578268876611418,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,sector 83,1.4,3.0,3.0,3,Relatively New,1582.0,1.0,0.0,2.0,Medium,High Floor,0.0008849557522123894,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,sector 50,2.35,3.0,3.0,3,Moderately Old,2000.0,0.0,1.0,1.0,Medium,Mid Floor,0.001175,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,sector 85,2.15,4.0,5.0,3+,Relatively New,2366.0,1.0,0.0,0.0,High,Mid Floor,0.0009087066779374472,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,sector 108,2.95,3.0,4.0,2,Relatively New,2003.0,0.0,0.0,0.0,Low,High Floor,0.0014727908137793311,"28.5134° N, 76.9830° E",28.5134,76.983
flat,sector 3,1.1,2.0,2.0,2,Under Construction,956.0,0.0,0.0,0.0,Medium,High Floor,0.0011506276150627616,"28.4909° N, 77.0176° E",28.4909,77.0176
house,sector 47,4.3,3.0,4.0,2,Moderately Old,1467.0,0.0,0.0,0.0,Low,Low Floor,0.0029311520109066122,"28.4276° N, 77.0492° E",28.4276,77.0492
flat,sector 78,1.25,4.0,4.0,3,Relatively New,2300.0,1.0,0.0,0.0,Medium,Low Floor,0.0005434782608695652,"28.3733° N, 76.9729° E",28.3733,76.9729
flat,sector 78,1.2,1.0,2.0,2,Under Construction,823.0,0.0,0.0,0.0,Low,High Floor,0.0014580801944106925,"28.3733° N, 76.9729° E",28.3733,76.9729
house,sector 105,9.9,2.0,2.0,2,Moderately Old,2000.0,0.0,0.0,0.0,Low,Mid Floor,0.00495,"28.4952° N, 77.0114° E",28.4952,77.0114
flat,sector 113,3.35,3.0,4.0,3+,New Property,2200.0,1.0,0.0,0.0,High,High Floor,0.0015227272727272728,"28.5287° N, 77.0233° E",28.5287,77.0233
house,sector 50,7.1,5.0,4.0,3,Moderately Old,2160.0,0.0,1.0,1.0,Medium,Low Floor,0.0032870370370370367,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,sector 79,0.71,2.0,2.0,0,Under Construction,1295.0,0.0,0.0,0.0,Low,Mid Floor,0.0005482625482625482,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,sector 84,1.48,3.0,3.0,2,New Property,1624.0,1.0,1.0,1.0,Medium,Low Floor,0.0009113300492610837,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,sector 70,1.25,3.0,3.0,3,Under Construction,1688.0,0.0,0.0,0.0,Medium,High Floor,0.000740521327014218,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,sector 67,2.87,3.0,3.0,3+,Relatively New,2095.0,1.0,0.0,1.0,High,High Floor,0.0013699284009546539,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,sector 61,2.2,3.0,3.0,2,Under Construction,1811.0,0.0,0.0,0.0,Low,Mid Floor,0.001214798453892877,"28.4050° N, 77.0963° E",28.405,77.0963
flat,sector 109,1.65,3.0,3.0,3,Relatively New,1650.0,0.0,1.0,1.0,High,High Floor,0.001,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,sector 83,1.4,3.0,3.0,3,Relatively New,1387.0,1.0,1.0,1.0,High,Low Floor,0.0010093727469358328,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,sector 77,1.4,3.0,3.0,3,Relatively New,1735.0,0.0,0.0,0.0,Low,Mid Floor,0.0008069164265129683,"28.3801° N, 76.9845° E",28.3801,76.9845
house,sector 43,5.8,6.0,6.0,3,Relatively New,1935.0,1.0,0.0,1.0,Low,Low Floor,0.0029974160206718346,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,sector 113,3.21,3.0,3.0,3,New Property,2281.0,0.0,0.0,0.0,Low,Mid Floor,0.0014072775098640947,"28.5287° N, 77.0233° E",28.5287,77.0233
house,sector 3,0.9,3.0,4.0,3,Moderately Old,3500.0,0.0,0.0,1.0,Low,Mid Floor,0.00025714285714285715,"28.4909° N, 77.0176° E",28.4909,77.0176
house,sector 72,8.5,5.0,6.0,3+,Relatively New,6300.0,1.0,1.0,1.0,Medium,Mid Floor,0.0013492063492063493,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,sector 83,0.4,1.0,1.0,1,Relatively New,520.0,0.0,0.0,2.0,Medium,Mid Floor,0.0007692307692307692,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,sector 67,2.95,3.0,3.0,3,Relatively New,2150.0,1.0,0.0,1.0,High,Mid Floor,0.001372093023255814,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,sector 95,1.1,4.0,3.0,3,Relatively New,2824.0,1.0,0.0,0.0,Low,Mid Floor,0.00038951841359773375,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,sector 37,1.0,3.0,3.0,3,Under Construction,1629.0,0.0,0.0,0.0,Medium,Mid Floor,0.0006138735420503376,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,sector 82,1.0,2.0,2.0,2,Relatively New,1299.0,0.0,0.0,1.0,Medium,High Floor,0.0007698229407236335,"28.3935° N, 76.9600° E",28.3935,76.96
flat,manesar,0.92,3.0,3.0,3+,Moderately Old,1924.0,1.0,0.0,0.0,Low,Mid Floor,0.0004781704781704782,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,sector 95,0.45,2.0,2.0,1,Relatively New,887.0,0.0,0.0,0.0,Medium,Low Floor,0.0005073280721533259,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,sector 90,1.25,4.0,5.0,2,Relatively New,2330.0,1.0,0.0,0.0,High,Mid Floor,0.000536480686695279,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,sector 65,2.35,3.0,3.0,3,Relatively New,1493.0,1.0,0.0,1.0,High,Low Floor,0.0015740120562625587,"28.4030° N, 77.0690° E",28.403,77.069
flat,sector 69,1.4,3.0,3.0,1,Relatively New,1392.0,0.0,0.0,1.0,High,High Floor,0.0010057471264367816,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,sector 95,0.55,2.0,2.0,3,New Property,990.0,0.0,0.0,0.0,Low,High Floor,0.0005555555555555556,"28.4172° N, 76.9081° E",28.4172,76.9081
house,sector 105,0.74,3.0,3.0,0,Moderately Old,1000.0,0.0,0.0,0.0,Low,Low Floor,0.00074,"28.4952° N, 77.0114° E",28.4952,77.0114
flat,sector 54,11.0,4.0,6.0,3,Relatively New,2826.0,1.0,0.0,2.0,Medium,Mid Floor,0.00389242745930644,"28.4348° N, 77.1089° E",28.4348,77.1089
house,sector 39,1.8,1.0,1.0,2,Relatively New,800.0,0.0,0.0,0.0,Low,Mid Floor,0.0022500000000000003,"28.4434° N, 77.0515° E",28.4434,77.0515
flat,sector 92,1.0,4.0,3.0,2,Relatively New,2167.0,0.0,0.0,0.0,Low,Low Floor,0.00046146746654360867,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,sector 90,0.65,2.0,2.0,2,Old Property,1176.0,0.0,0.0,0.0,Medium,High Floor,0.0005527210884353742,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,sector 79,1.3,2.0,2.0,3,New Property,1423.0,0.0,0.0,0.0,Low,Mid Floor,0.0009135628952916374,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,sector 110,3.49,4.0,5.0,3,Relatively New,3077.0,1.0,0.0,0.0,High,Mid Floor,0.0011342216444588885,"28.5145° N, 77.0197° E",28.5145,77.0197
house,sector 49,6.75,4.0,4.0,3,Relatively New,2088.0,1.0,0.0,1.0,Low,Mid Floor,0.003232758620689655,"28.4121° N, 77.0480° E",28.4121,77.048
flat,sector 102,1.05,2.0,2.0,2,Under Construction,1017.0,0.0,0.0,0.0,Low,Low Floor,0.001032448377581121,"28.4750° N, 76.9715° E",28.475,76.9715
flat,sector 28,2.26,3.0,3.0,2,Old Property,1700.0,1.0,0.0,0.0,High,High Floor,0.0013294117647058821,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,sector 56,0.5,1.0,1.0,2,Old Property,667.0,0.0,0.0,0.0,Low,Mid Floor,0.0007496251874062968,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,sector 61,2.54,3.0,3.0,3,Under Construction,1639.0,0.0,1.0,0.0,Low,Low Floor,0.001549725442342892,"28.4050° N, 77.0963° E",28.405,77.0963
flat,sector 79,2.0,3.0,4.0,3+,Relatively New,1963.0,1.0,0.0,0.0,Medium,Mid Floor,0.0010188487009679063,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,sector 90,0.95,3.0,3.0,3,Relatively New,1667.0,1.0,0.0,0.0,Medium,Mid Floor,0.0005698860227954409,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,sector 79,1.12,2.0,2.0,3,Relatively New,1325.0,0.0,0.0,0.0,Low,Mid Floor,0.0008452830188679246,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,sector 2,1.01,2.0,2.0,3,Moderately Old,1281.0,0.0,0.0,0.0,Medium,Low Floor,0.0007884465261514442,"28.5095° N, 77.0320° E",28.5095,77.032
flat,sector 104,2.3,3.0,4.0,3+,Moderately Old,2217.0,1.0,0.0,0.0,Medium,Mid Floor,0.0010374379792512404,"28.4788° N, 76.9960° E",28.4788,76.996
flat,sector 50,6.0,4.0,3.0,3,Moderately Old,3982.0,1.0,0.0,0.0,Low,Mid Floor,0.0015067805123053742,"28.4178° N, 77.0628° E",28.4178,77.0628
house,sector 66,12.0,5.0,5.0,3+,New Property,3240.0,1.0,1.0,1.0,Medium,Mid Floor,0.003703703703703704,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,sector 92,0.92,4.0,5.0,3+,Moderately Old,1895.0,0.0,0.0,1.0,Medium,High Floor,0.00048548812664907655,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,sector 113,3.25,4.0,4.0,3+,Under Construction,2553.0,1.0,0.0,0.0,Medium,High Floor,0.0012730121425773599,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,sector 90,1.76,4.0,4.0,3+,Relatively New,2020.0,0.0,0.0,1.0,Medium,Mid Floor,0.0008712871287128713,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,sector 69,1.75,4.0,4.0,2,Relatively New,1819.0,0.0,0.0,1.0,Medium,Mid Floor,0.0009620670698185816,"28.3966° N, 77.0341° E",28.3966,77.0341
house,sector 43,5.25,4.0,4.0,2,Old Property,1935.0,1.0,0.0,1.0,Medium,Low Floor,0.0027131782945736434,"28.4629° N, 77.0772° E",28.4629,77.0772
house,sector 43,2.5,7.0,7.0,3,Relatively New,963.0,0.0,0.0,2.0,Low,Mid Floor,0.002596053997923157,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,sector 104,0.4,2.0,2.0,1,Relatively New,515.0,0.0,0.0,0.0,Low,High Floor,0.0007766990291262136,"28.4788° N, 76.9960° E",28.4788,76.996
flat,sector 90,0.9,3.0,4.0,3,Relatively New,1765.0,1.0,0.0,0.0,High,Mid Floor,0.000509915014164306,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,sector 102,0.95,2.0,2.0,2,Relatively New,915.0,0.0,0.0,0.0,Low,High Floor,0.0010382513661202186,"28.4750° N, 76.9715° E",28.475,76.9715
house,sector 4,0.47,2.0,2.0,1,New Property,50.0,0.0,0.0,1.0,Medium,Low Floor,0.009399999999999999,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,sector 106,0.95,2.0,2.0,3+,Relatively New,940.0,0.0,0.0,0.0,Low,Low Floor,0.0010106382978723404,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,sector 69,1.37,3.0,3.0,1,Relatively New,1392.0,0.0,0.0,0.0,Medium,High Floor,0.0009841954022988507,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,sector 82a,1.8,3.0,3.0,3+,Relatively New,1545.0,1.0,0.0,2.0,High,Mid Floor,0.0011650485436893205,"28.3858° N, 76.9686° E",28.3858,76.9686
flat,sector 50,2.51,3.0,3.0,3,Moderately Old,2093.0,0.0,1.0,1.0,Medium,High Floor,0.001199235547061634,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,sector 5,0.22,2.0,2.0,1,Relatively New,570.0,0.0,0.0,2.0,Low,Low Floor,0.00038596491228070175,"28.4794° N, 77.0176° E",28.4794,77.0176
flat,sector 74,2.45,3.0,3.0,3+,Relatively New,1800.0,0.0,0.0,0.0,Medium,High Floor,0.0013611111111111111,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,sector 69,1.2,2.0,3.0,0,Relatively New,1100.0,0.0,0.0,0.0,Medium,Low Floor,0.001090909090909091,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,sector 86,1.25,3.0,2.0,1,New Property,1529.0,0.0,0.0,0.0,Medium,Low Floor,0.0008175277959450621,"28.3986° N, 76.9384° E",28.3986,76.9384
house,sector 46,2.2,3.0,3.0,2,Old Property,909.0,0.0,1.0,1.0,Medium,Mid Floor,0.0024202420242024204,"28.4374° N, 77.0586° E",28.4374,77.0586
flat,sector 28,1.91,2.0,2.0,2,New Property,1278.0,0.0,0.0,2.0,Medium,High Floor,0.0014945226917057902,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,sector 89,0.88,2.0,2.0,0,New Property,1103.0,0.0,0.0,0.0,Low,Low Floor,0.0007978241160471442,"28.4253° N, 76.9439° E",28.4253,76.9439
house,sector 48,7.69,4.0,5.0,3,Moderately Old,3195.0,1.0,1.0,1.0,Medium,Low Floor,0.0024068857589984354,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,sector 78,1.1,3.0,3.0,3+,Old Property,2176.0,1.0,0.0,0.0,Medium,Mid Floor,0.000505514705882353,"28.3733° N, 76.9729° E",28.3733,76.9729
house,sector 13,0.9,2.0,4.0,3,Moderately Old,785.0,1.0,0.0,0.0,Low,Mid Floor,0.0011464968152866243,"28.4757° N, 77.0392° E",28.4757,77.0392
flat,sector 69,1.32,3.0,3.0,1,Relatively New,1419.0,0.0,0.0,1.0,Medium,High Floor,0.0009302325581395349,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,sector 70,1.9,3.0,3.0,3,New Property,1765.0,1.0,1.0,0.0,Low,Mid Floor,0.001076487252124646,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,sector 59,4.25,3.0,4.0,3,Under Construction,2077.0,0.0,0.0,0.0,Low,Mid Floor,0.0020462205103514686,"28.4051° N, 77.1097° E",28.4051,77.1097
house,sector 26,4.5,5.0,5.0,3+,Old Property,1350.0,0.0,0.0,0.0,Low,Low Floor,0.0033333333333333335,"28.4757° N, 77.1032° E",28.4757,77.1032
flat,sector 81,2.2,3.0,4.0,3+,Relatively New,1900.0,1.0,0.0,2.0,Medium,Mid Floor,0.0011578947368421054,"28.3867° N, 76.9485° E",28.3867,76.9485
house,sector 49,4.05,3.0,3.0,3,Moderately Old,2000.0,1.0,1.0,0.0,Low,Low Floor,0.002025,"28.4121° N, 77.0480° E",28.4121,77.048
house,sector 55,3.1,5.0,4.0,3+,Moderately Old,1548.0,1.0,1.0,1.0,Medium,Low Floor,0.0020025839793281655,"28.4281° N, 77.1100° E",28.4281,77.11
flat,sector 74,1.55,2.0,2.0,3+,Relatively New,1300.0,0.0,0.0,0.0,Medium,High Floor,0.0011923076923076924,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,sector 89,1.5,3.0,3.0,3,Relatively New,1923.0,1.0,0.0,0.0,Medium,Mid Floor,0.00078003120124805,"28.4253° N, 76.9439° E",28.4253,76.9439
house,sector 4,0.65,2.0,1.0,1,Moderately Old,500.0,0.0,0.0,0.0,Low,Mid Floor,0.0013,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,sector 88a,1.5,3.0,3.0,3+,New Property,1674.0,0.0,0.0,0.0,Low,High Floor,0.0008960573476702509,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,sector 33,1.1,2.0,2.0,3,Moderately Old,1100.0,0.0,0.0,1.0,Low,Mid Floor,0.001,"28.4420° N, 77.0207° E",28.442,77.0207
house,sector 109,5.85,4.0,5.0,3+,Relatively New,2214.0,1.0,0.0,1.0,Medium,Low Floor,0.0026422764227642275,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,sector 82,1.75,4.0,5.0,3+,Relatively New,2535.0,0.0,0.0,0.0,Medium,Low Floor,0.0006903353057199211,"28.3935° N, 76.9600° E",28.3935,76.96
house,sector 28,1.39,2.0,2.0,1,Old Property,1450.0,0.0,1.0,0.0,Low,Mid Floor,0.0009586206896551724,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,sector 28,5.5,4.0,5.0,3+,Moderately Old,3406.0,1.0,0.0,1.0,Low,Mid Floor,0.0016147974163241339,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,sector 66,3.2,3.0,3.0,3,Relatively New,1800.0,1.0,1.0,1.0,Medium,High Floor,0.0017777777777777779,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,sector 70,1.0,3.0,2.0,2,Moderately Old,1078.0,0.0,0.0,0.0,Medium,Mid Floor,0.0009276437847866419,"28.3968° N, 77.0233° E",28.3968,77.0233
house,sector 47,5.15,3.0,9.0,3+,Relatively New,1935.0,0.0,1.0,1.0,Medium,Mid Floor,0.002661498708010336,"28.4276° N, 77.0492° E",28.4276,77.0492
flat,sector 81,0.88,2.0,2.0,3,Relatively New,1223.0,0.0,0.0,1.0,Medium,Mid Floor,0.0007195421095666394,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,sector 108,2.9,3.0,4.0,2,Relatively New,2003.0,0.0,0.0,0.0,Medium,High Floor,0.0014478282576135795,"28.5134° N, 76.9830° E",28.5134,76.983
flat,sector 92,0.75,3.0,3.0,3,Relatively New,1415.0,0.0,0.0,1.0,Low,Low Floor,0.0005300353356890459,"28.4079° N, 76.9153° E",28.4079,76.9153
house,sector 56,7.25,8.0,8.0,3+,Moderately Old,2471.0,0.0,0.0,1.0,Low,Low Floor,0.002934034803723189,"28.4245° N, 77.0991° E",28.4245,77.0991
house,sector 13,0.45,1.0,1.0,0,Old Property,936.0,0.0,0.0,0.0,Low,Low Floor,0.0004807692307692308,"28.4757° N, 77.0392° E",28.4757,77.0392
flat,sector 88a,1.62,3.0,2.0,3+,Relatively New,1463.0,0.0,0.0,2.0,Low,Mid Floor,0.0011073137388926864,"28.4347° N, 76.9557° E",28.4347,76.9557
house,sector 50,11.5,5.0,6.0,0,Moderately Old,3240.0,0.0,0.0,0.0,Low,Low Floor,0.0035493827160493828,"28.4178° N, 77.0628° E",28.4178,77.0628
house,sector 57,3.6,4.0,4.0,2,Old Property,1728.0,1.0,1.0,0.0,Medium,Low Floor,0.0020833333333333333,"28.4232° N, 77.0752° E",28.4232,77.0752
house,sector 46,3.6,5.0,5.0,3+,Moderately Old,1449.0,1.0,0.0,1.0,Medium,Mid Floor,0.002484472049689441,"28.4374° N, 77.0586° E",28.4374,77.0586
flat,sector 65,2.01,2.0,2.0,3,New Property,1482.0,0.0,0.0,0.0,Low,Mid Floor,0.0013562753036437246,"28.4030° N, 77.0690° E",28.403,77.069
flat,sector 92,0.21,1.0,1.0,1,Relatively New,336.0,0.0,0.0,0.0,Medium,Low Floor,0.000625,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,sector 60,2.05,2.0,3.0,2,Relatively New,1520.0,0.0,1.0,1.0,High,Low Floor,0.0013486842105263157,"28.4003° N, 77.0975° E",28.4003,77.0975
flat,sector 56,0.45,1.0,1.0,2,Old Property,543.0,0.0,0.0,0.0,Medium,Mid Floor,0.0008287292817679558,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,sector 37d,0.75,2.0,2.0,3,Moderately Old,1410.0,0.0,0.0,0.0,Medium,High Floor,0.0005319148936170213,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,sector 65,6.15,3.0,3.0,3,Moderately Old,3027.0,1.0,0.0,1.0,Medium,High Floor,0.0020317145688800793,"28.4030° N, 77.0690° E",28.403,77.069
flat,sector 89,1.16,3.0,3.0,2,Under Construction,1581.0,0.0,0.0,0.0,Medium,Mid Floor,0.0007337128399746995,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,sector 79,2.03,3.0,4.0,3+,Relatively New,2031.0,1.0,0.0,0.0,Medium,Mid Floor,0.000999507631708518,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,sector 37,1.43,3.0,3.0,3+,Relatively New,1845.0,1.0,0.0,0.0,Low,Low Floor,0.0007750677506775068,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,sector 90,0.92,3.0,4.0,3,Relatively New,1493.0,1.0,0.0,0.0,Medium,Mid Floor,0.0006162089752176826,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,sector 49,4.52,5.0,5.0,3+,Moderately Old,3724.0,1.0,0.0,0.0,Low,High Floor,0.0012137486573576797,"28.4121° N, 77.0480° E",28.4121,77.048
flat,sector 43,5.25,4.0,4.0,3,Old Property,2570.0,1.0,0.0,0.0,Medium,Mid Floor,0.0020428015564202336,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,sector 79,1.3,3.0,3.0,3,Relatively New,1176.0,0.0,1.0,1.0,Medium,High Floor,0.0011054421768707484,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,sector 63a,1.4,2.0,2.0,2,Under Construction,1372.0,0.0,0.0,0.0,Low,Mid Floor,0.001020408163265306,"28.3923° N, 77.0888° E",28.3923,77.0888
house,sector 6,1.25,2.0,5.0,1,New Property,120.0,0.0,0.0,0.0,Low,Low Floor,0.010416666666666666,"28.4745° N, 77.0262° E",28.4745,77.0262
flat,sector 108,3.25,3.0,3.0,3,Relatively New,2072.0,0.0,0.0,0.0,Medium,High Floor,0.0015685328185328184,"28.5134° N, 76.9830° E",28.5134,76.983
flat,sector 92,0.99,3.0,2.0,3,Under Construction,1091.0,0.0,0.0,0.0,Low,Low Floor,0.0009074243813015582,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,sector 79,1.3,2.0,4.0,2,Relatively New,1223.0,0.0,0.0,0.0,Medium,Mid Floor,0.001062959934587081,"28.3624° N, 76.9787° E",28.3624,76.9787
house,sector 46,5.5,8.0,8.0,3+,Moderately Old,2385.0,0.0,0.0,1.0,Low,Mid Floor,0.002306079664570231,"28.4374° N, 77.0586° E",28.4374,77.0586
house,sector 17,7.2,4.0,4.0,2,Old Property,4494.0,1.0,1.0,0.0,Low,Low Floor,0.001602136181575434,"28.4791° N, 77.0608° E",28.4791,77.0608
flat,sector 90,1.65,4.0,4.0,3+,Relatively New,2214.0,0.0,0.0,0.0,High,High Floor,0.0007452574525745257,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,sector 37,0.9,3.0,3.0,3,Moderately Old,1537.0,0.0,0.0,1.0,Medium,Mid Floor,0.0005855562784645413,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,sector 108,1.9,2.0,2.0,2,Relatively New,1250.0,0.0,0.0,0.0,Medium,Mid Floor,0.0015199999999999999,"28.5134° N, 76.9830° E",28.5134,76.983
house,sector 23,5.5,9.0,9.0,3+,Moderately Old,4200.0,1.0,0.0,1.0,Low,Mid Floor,0.0013095238095238095,"28.5121° N, 77.0478° E",28.5121,77.0478
flat,sector 90,1.25,3.0,3.0,3,Relatively New,1640.0,0.0,0.0,0.0,High,Mid Floor,0.0007621951219512195,"28.4085° N, 76.9369° E",28.4085,76.9369
house,sector 6,0.75,2.0,4.0,1,Moderately Old,713.0,0.0,0.0,0.0,Medium,Mid Floor,0.0010518934081346423,"28.4745° N, 77.0262° E",28.4745,77.0262
flat,sector 22,3.2,3.0,4.0,3+,New Property,2517.0,0.0,0.0,0.0,Low,Low Floor,0.0012713547874453716,"28.5072° N, 77.0640° E",28.5072,77.064
flat,sector 107,1.8,3.0,4.0,3+,Relatively New,1837.0,1.0,0.0,0.0,Medium,Low Floor,0.000979858464888405,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,sector 67a,1.8,3.0,3.0,2,New Property,1551.0,0.0,1.0,1.0,High,Mid Floor,0.0011605415860735009,"28.3960° N, 77.0372° E",28.396,77.0372
house,sector 82,7.0,4.0,4.0,3+,Relatively New,3240.0,1.0,0.0,1.0,Low,Low Floor,0.0021604938271604936,"28.3935° N, 76.9600° E",28.3935,76.96
flat,sector 107,0.5,2.0,2.0,2,New Property,622.0,0.0,0.0,0.0,Low,High Floor,0.0008038585209003215,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,sector 82a,3.5,5.0,5.0,3+,Relatively New,2896.0,0.0,0.0,2.0,Low,High Floor,0.0012085635359116022,"28.3858° N, 76.9686° E",28.3858,76.9686
house,sector 2,5.0,6.0,4.0,0,Moderately Old,4000.0,0.0,0.0,0.0,Low,Mid Floor,0.00125,"28.5095° N, 77.0320° E",28.5095,77.032
flat,sector 69,0.91,3.0,2.0,2,Moderately Old,1473.0,0.0,0.0,0.0,Low,High Floor,0.0006177868295994569,"28.3966° N, 77.0341° E",28.3966,77.0341
