PropertyName,PropertySubName,NearbyLocations,LocationAdvantages,Link,PriceDetails,TopFacilities,FacilitiesStr
Experion The Westerlies,"4, 5 BHK Villa, Land in Sector 108, Gurgaon","['Euro Intl School, Sector- 109', 'Aryan Hospital', 'WTC Plaza', 'The NorthCap University', 'The Shikshiyan School']","{'euro international school': '2.4 KM', 'aryan hospital': '6.6 KM', 'wtc plaza': '1.5 KM', 'the northcap university': '9.1 KM', 'the shikshiyan school': '1.1 KM', 'indira gandhi international airport': '19.6 KM', 'tau devilal sports complex': '10.2 KM', 'dlf corporate park': '15.8 KM', 'hamoni golf camp': '10.4 KM'}",https://www.99acres.com/experion-the-westerlies-sector-108-gurgaon-npxid-r18410,"{'4 BHK': {'building_type': 'Villa', 'area_type': 'Carpet Area', 'area': '1,935 - 2,259 sq.ft.', 'price-range': 'Price on Request'}, '5 BHK': {'building_type': 'Villa', 'area_type': 'Carpet Area', 'area': '3,222 - 4,968 sq.ft.', 'price-range': 'Price on Request'}, 'Land': {'building_type': '', 'area_type': 'Plot Area', 'area': '346.54 - 10,839.26 sq.ft.', 'price-range': '₹ 2.06 - 49.62 Cr'}}","['Swimming Pool', 'Reflexology Park', 'Barbecue', 'Terrace Garden', 'Gazebo', 'Fountain', 'Sun Deck', 'Amphitheatre', 'Power Back up Lift']",Swimming Pool Reflexology Park Barbecue Terrace Garden Gazebo Fountain Sun Deck Amphitheatre Power Back up Lift
Hero Homes,"2, 3 BHK Apartment in Sector 104, Gurgaon","['Gurugram Railway Station', 'Dwarka Expressway', 'Kings International School', 'HUDA Market', 'Basai Metro Station']","{'gurugram railway station': '1.1 Km', 'dwaraka expressway': '1.6 Km', 's n international school': '2.6 Km', 'huda market': '3 Km', 'basai metro station': '3.9 Km', 'aryan hospital': '4.7 Km', 'indira gandhi international airport': '21.3 Km'}",https://www.99acres.com/hero-homes-sector-104-gurgaon-npxid-r318679,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,099 sq.ft.', 'price-range': '₹ 1.05 - 1.6 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,359 - 1,689 sq.ft.', 'price-range': '₹ 1.36 - 2.46 Cr'}}","['Swimming Pool', 'Bar/Chill-Out Lounge', 'Reading Lounge', 'Reflexology Park', 'Card Room', 'Barbecue', 'Restaurant', 'Sauna', 'Spa']",Swimming Pool Bar/Chill-Out Lounge Reading Lounge Reflexology Park Card Room Barbecue Restaurant Sauna Spa
Central Park Flower Valley Mikasa Plots,"Land in Sector-33 Sohna, Gurgaon","['Lemon Tree Hotel', 'IGI Airport', 'Gurugram Public School', 'CBR Cricket Ground', 'Swastik Multispeciality Hospital']","{'lemon tree hotel': '1.3Km', 'indira gandhi international airport': '20.5Km', 'gurugram public school': '4.1Km', 'cbr cricket ground': '3.5Km', 'swastik multispeciality hospital': '2.3Km', 'scc drive in cinema': '2.8Km', 'sector 55 56 rapid metro station': '3.1Km'}",https://www.99acres.com/central-park-flower-valley-mikasa-plots-sector-33-sohna-gurgaon-npxid-r308685,"{'Land': {'building_type': '', 'area_type': 'Plot Area', 'area': '1,620 - 9,000 sq.ft.', 'price-range': '₹ 1.01 - 5.6 Cr'}}","['Bowling Alley', 'Concierge Service', 'Swimming Pool', 'Lounge', 'Medical Centre', 'Laundry', 'Flower Garden', 'Reflexology Park', 'Golf Course']",Bowling Alley Concierge Service Swimming Pool Lounge Medical Centre Laundry Flower Garden Reflexology Park Golf Course
M3M Skywalk,"2, 3 BHK Apartment in Sector 74, Gurgaon","['Omaxe Gurgaon Mall', 'Kunskapsskolan School', 'Omaxe Celebration Mall', 'Gurgaon - Delhi Expy, Sector 75A', 'Park Hospital']","{'omaxe city centre mall': '5.6 KM', 'kunskapsskolan international school': '5.7 KM', 'omaxe celebration mall': '6.8 KM', 'gurgaon delhi expy sector 75a': '7.9 KM', 'park hospital': '9 KM', 'gurugram university': '10.6 KM', 'indira gandhi international airport': '25.3 KM'}",https://www.99acres.com/m3m-skywalk-sector-74-gurgaon-npxid-r368291,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,124.8 - 1,345.6 sq.ft.', 'price-range': '₹ 2.45 - 2.95 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,614.4 - 1,625.6 sq.ft.', 'price-range': '₹ 3.53 - 3.57 Cr'}}","['Concierge Service', 'Swimming Pool', 'Lounge', 'Golf Course', 'Changing Area', 'Aerobics Centre', 'Restaurant', 'High Speed Elevators', 'Waiting Lounge']",Concierge Service Swimming Pool Lounge Golf Course Changing Area Aerobics Centre Restaurant High Speed Elevators Waiting Lounge
Ireo The Grand Arch,"2, 3, 4 BHK Apartment in sector 58, Gurgaon","['International Tech Park Gurgaon', 'Grand Hyatt Gurgaon', 'W Pratiksha Hospital', 'Shalom Presidency School', 'Sector 55-56 Rapid Metro']","{'international tech park gurgaon': '1.5 Km', 'grand hyatt gurgaon': '1.4 Km', 'w pratiksha hospital': '3.7 Km', 'shalom presidency school': '3.7 Km', 'sector 55 56 rapid metro station': '3.7 Km', 'paras trinity mall': '3.5 Km', 'sushant university': '5.3 Km', 'rajesh pilot road': '2.9 Km', 'jinga lala theme park gurgaon delhi': '2.7 Km', 'indira gandhi international airport': '21.1 Km', 'teri golf course': '5.1 Km', 'tau devilal sports complex': '11.7 Km'}",https://www.99acres.com/ireo-the-grand-arch-sector-58-gurgaon-npxid-r659,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,375 sq.ft.', 'price-range': '₹ 2.3 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,156 sq.ft.', 'price-range': '₹ 3.61 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,857 sq.ft.', 'price-range': '₹ 4.78 Cr'}}","['Bowling Alley', 'Swimming Pool', 'Football', 'Restaurant', 'Waiting Lounge', 'Piped Gas', 'Water Softener Plant', 'Creche/Day care', 'Squash Court']",Bowling Alley Swimming Pool Football Restaurant Waiting Lounge Piped Gas Water Softener Plant Creche/Day care Squash Court
JMS The Nation,"Land in Sector 95, Gurgaon","['Pataudi Rd, Sector 95B', 'RELIANCE TRENDS Newtown Square Mall', 'RPS International School', 'Aarvy Healthcare Super Speciality', 'SGT University']","{'pataudi rd sector 95b': '1.1 KM', 'reliance trends newtown square mall': '2.8 KM', 's n international school': '3.9 KM', 'aarvy healthcare super speciality hospital': '4.1 KM', 'sgt university': '12.8 KM', 'indira gandhi international airport': '33.4 KM'}",https://www.99acres.com/jms-the-nation-sector-95-gurgaon-npxid-r389082,"{'Land': {'building_type': '', 'area_type': 'Plot Area', 'area': '1,080 - 1,611 sq.ft.', 'price-range': '₹ 91.8 L - 2.15 Cr'}}","['Yoga/Meditation Area', 'Gated Community']",Yoga/Meditation Area Gated Community
Imperia The Esfera,"2, 3, 4 BHK Apartment in Sector 37C, Gurgaon","['Approved Sector 37 Mero Station', 'Signature Hospital', 'Suncity School', 'Xavier’s International', 'Alpine School']","{'approved sector 37 mero station': '500 m', 'signature hospital': '500 m', 'suncity school': '500 m', 'xavier’s international': '500 m', 'alpine school': '2 Km', 'esplanade mall': '400 m', 'sector 10 market': '3.1 Km', 'dwaraka expressway': '4.5 Km'}",https://www.99acres.com/imperia-the-esfera-sector-37c-gurgaon-npxid-r1580,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,578 sq.ft.', 'price-range': '₹ 76 - 94.68 L'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,815 - 2,035 sq.ft.', 'price-range': '₹ 87.99 L - 1.09 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '2,600 sq.ft.', 'price-range': '₹ 1.27 - 1.56 Cr'}}","['Food Court', 'Swimming Pool', 'Reading Lounge', 'Aerobics Centre', 'Restaurant', 'Water Softener Plant', 'Property Staff', 'Banquet Hall', 'Library']",Food Court Swimming Pool Reading Lounge Aerobics Centre Restaurant Water Softener Plant Property Staff Banquet Hall Library
Ramprastha Primera,"3 BHK Apartment in Sector 37D, Gurgaon","['Dwarka Expressway', 'JMS Marine Square Mall', 'Blue Bells Public School', 'Delhi Jaipur Expressway', 'infinity Business Park']","{'dwaraka expressway': '1.9 Km', 'jms marine square mall': '4.3 Km', 'blue bells public school': '4.5 Km', 'delhi jaipur expressway': '5 Km', 'infinity business park': '9.9 Km', 'sgt university': '10 Km', 'medanta the medicity': '10.2 Km', 'holiday inn sector 90': '10.5 Km', 'huda market': '13.6 Km', 'indira gandhi international airport': '24.5 Km'}",https://www.99acres.com/ramprastha-primera-sector-37d-gurgaon-npxid-r4640,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,695 - 1,800 sq.ft.', 'price-range': '₹ 1.22 - 1.96 Cr'}}","['Swimming Pool', 'Water Softener Plant', 'Theatre', 'Shopping Centre', 'Video Door Security', 'Multipurpose Court', 'Vastu Compliant', 'Multipurpose Hall', 'Yoga/Meditation Area']",Swimming Pool Water Softener Plant Theatre Shopping Centre Video Door Security Multipurpose Court Vastu Compliant Multipurpose Hall Yoga/Meditation Area
Experion The Heartsong,"2, 3, 4, 5 BHK Apartment in Sector 108, Gurgaon","['Galleria 108 Mall', 'The Shikshiyan School', 'Dwarka Expressway', 'Manipal Hospital', 'SkyJumper Trampoline Park']","{'galleria 108 mall': '0.65 Km', 'the shikshiyan school': '0.75 Km', 'dwaraka expressway': '3 Km', 'manipal hospital': '8.5 Km', 'skyjumper trampoline park': '12.1 Km', 'vivanta dwarka new delhi': '13.3 Km', 'fun n food waterpark': '14.1 Km', 'central peripheral road': '14.8 Km', 'indira gandhi international airport': '20.5 Km'}",https://www.99acres.com/experion-the-heartsong-sector-108-gurgaon-npxid-r6502,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '721.19 - 734.43 sq.ft.', 'price-range': '₹ 95 - 96.71 L'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '974.68 - 1,302.01 sq.ft.', 'price-range': '₹ 1.16 - 1.66 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,598.78 - 2,255.49 sq.ft.', 'price-range': '₹ 1.84 - 2.59 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '4,747 - 4,801 sq.ft.', 'price-range': 'Price on Request'}}","['Manicured Garden', 'Bus Shelter', 'Clinic', 'Natural Pond', 'Car wash area', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Medical Centre', 'Reading Lounge']",Manicured Garden Bus Shelter Clinic Natural Pond Car wash area Swimming Pool Bar/Chill-Out Lounge Medical Centre Reading Lounge
DLF New Town Heights 2,"2, 3, 4 BHK Apartment, 4 BHK Villa, 4 BHK Independent Floor in Sector 86, Gurgaon","['Bharat Ram Global School', 'Canara Bank ATM', 'Yes Bank', 'Arc Hospital', 'Canara Bank']","{'bharat ram global school': 'Within 290m', 'canara bank atm': 'Within 900m', 'yes bank': 'Within 1.2km', 'arc multi speciality hospital': 'Within 1.3km', 'canara bank': 'Within 1.4km', 'axis bank atm': 'Within 1.4km', 'city square': 'Within 1.6km', 'shishu kalyan school': 'Within 2.1km', 'vatika town square': 'Within 5.3km', 'rathore imt hospital': 'Within 5.9km', 'dsd college': 'Within 6.1km', 'patil station': 'Within 10.7km', 'amity university': 'Within 17.9km', 'icfai university': 'Within 18.2km', 'indira gandhi international airport': 'Within 33.4km'}",https://www.99acres.com/dlf-new-town-heights-2-sector-86-gurgaon-npxid-r23690,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,305 - 1,615 sq.ft.', 'price-range': '₹ 80.28 L - 1.73 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Super Built-up Area', 'area': '1,762 - 2,051 sq.ft.', 'price-range': '₹ 1 - 2.2 Cr'}, '4 BHK': {'building_type': 'Villa', 'area_type': 'Built-up Area', 'area': '3,194 - 3,307 sq.ft.', 'price-range': 'Price on Request'}}","['Swimming Pool', 'Pergola', 'Piped Gas', 'Grocery Shop', 'Cafeteria', 'Fountain', 'Sun Deck', 'Lawn Tennis Court', 'Multipurpose Court']",Swimming Pool Pergola Piped Gas Grocery Shop Cafeteria Fountain Sun Deck Lawn Tennis Court Multipurpose Court
